pdf_page,column,raw_entry,entry,stage_bucket
138,right,chicken,chicken,compulsory_baseline
138,right,chief*,chief,required_new
138,right,child (pl. children),child (pl. children),compulsory_baseline
138,right,China,China,compulsory_baseline
138,right,china*,china,required_new
138,right,Chinese,Chinese,compulsory_baseline
138,right,chocolate,chocolate,compulsory_baseline
138,right,choice,choice,compulsory_baseline
138,right,choke**,choke,selective_required_new
138,right,choose,choose,compulsory_baseline
138,right,chopsticks,chopsticks,compulsory_baseline
138,right,chorus**,chorus,selective_required_new
138,right,Christmas,Christmas,compulsory_baseline
138,right,church**,church,selective_required_new
138,right,cigarette**,cigarette,selective_required_new
138,right,cinema,cinema,compulsory_baseline
138,right,circle,circle,compulsory_baseline
138,right,circuit**,circuit,selective_required_new
138,right,circumstance**,circumstance,selective_required_new
138,right,circus**,circus,selective_required_new
138,right,cite**,cite,selective_required_new
138,right,citizen**,citizen,selective_required_new
138,right,city,city,compulsory_baseline
138,right,civil**,civil,selective_required_new
138,right,civilian**,civilian,selective_required_new
138,right,civilisation (civilization)**,civilisation (civilization),selective_required_new
139,left,claim**,claim,selective_required_new
139,left,clap*,clap,required_new
139,left,clarify**,clarify,selective_required_new
139,left,class,class,compulsory_baseline
139,left,classic**,classic,selective_required_new
139,left,classmate,classmate,compulsory_baseline
139,left,classroom,classroom,compulsory_baseline
139,left,clay**,clay,selective_required_new
139,left,clean,clean,compulsory_baseline
139,left,clear,clear,compulsory_baseline
139,left,clerk**,clerk,selective_required_new
139,left,clever,clever,compulsory_baseline
139,left,click*,click,required_new
139,left,client**,client,selective_required_new
139,left,climate*,climate,required_new
139,left,climb,climb,compulsory_baseline
139,left,clinic**,clinic,selective_required_new
139,left,clock,clock,compulsory_baseline
139,left,clone**,clone,selective_required_new
139,left,close,close,compulsory_baseline
139,left,cloth**,cloth,selective_required_new
139,left,clothes,clothes,compulsory_baseline
139,left,cloud,cloud,compulsory_baseline
139,left,cloudy,cloudy,compulsory_baseline
139,left,club,club,compulsory_baseline
139,left,clue**,clue,selective_required_new
139,left,coach,coach,compulsory_baseline
139,left,coal,coal,compulsory_baseline
139,right,coast,coast,compulsory_baseline
139,right,coat,coat,compulsory_baseline
139,right,coffee,coffee,compulsory_baseline
139,right,coin,coin,compulsory_baseline
139,right,cold,cold,compulsory_baseline
139,right,collapse**,collapse,selective_required_new
139,right,collar**,collar,selective_required_new
139,right,collect,collect,compulsory_baseline
139,right,collection*,collection,required_new
139,right,college,college,compulsory_baseline
139,right,colour (color),colour (color),compulsory_baseline
139,right,column**,column,selective_required_new
139,right,combine**,combine,selective_required_new
139,right,come,come,compulsory_baseline
139,right,comedy**,comedy,selective_required_new
139,right,comfort**,comfort,selective_required_new
139,right,comfortable,comfortable,compulsory_baseline
139,right,comic**,comic,selective_required_new
139,right,comment*,comment,required_new
139,right,commercial**,commercial,selective_required_new
139,right,commit**,commit,selective_required_new
139,right,commitment**,commitment,selective_required_new
139,right,committee*,committee,required_new
139,right,common,common,compulsory_baseline
139,right,communicate,communicate,compulsory_baseline
139,right,communication,communication,compulsory_baseline
139,right,communist**,communist,selective_required_new
139,right,community,community,compulsory_baseline
140,left,company*,company,required_new
140,left,compare,compare,compulsory_baseline
140,left,comparison**,comparison,selective_required_new
140,left,compete**,compete,selective_required_new
140,left,competence**,competence,selective_required_new
140,left,competition,competition,compulsory_baseline
140,left,complain**,complain,selective_required_new
140,left,complete,complete,compulsory_baseline
140,left,complex**,complex,selective_required_new
140,left,complicated**,complicated,selective_required_new
140,left,component**,component,selective_required_new
140,left,compose**,compose,selective_required_new
140,left,composition**,composition,selective_required_new
140,left,comprehension**,comprehension,selective_required_new
140,left,comprehensive**,comprehensive,selective_required_new
140,left,comprise**,comprise,selective_required_new
140,left,computer,computer,compulsory_baseline
140,left,concentrate*,concentrate,required_new
140,left,concept**,concept,selective_required_new
140,left,concern*,concern,required_new
140,left,concert,concert,compulsory_baseline
140,left,conclude**,conclude,selective_required_new
140,left,conclusion**,conclusion,selective_required_new
140,left,concrete**,concrete,selective_required_new
140,left,condition,condition,compulsory_baseline
140,left,conduct*,conduct,required_new
140,left,conference*,conference,required_new
140,left,confidence*,confidence,required_new
140,right,confirm*,confirm,required_new
140,right,conflict**,conflict,selective_required_new
140,right,Confucianism**,Confucianism,selective_required_new
140,right,Confucius**,Confucius,selective_required_new
140,right,confused**,confused,selective_required_new
140,right,congratulation*,congratulation,required_new
140,right,connect,connect,compulsory_baseline
140,right,consequence**,consequence,selective_required_new
140,right,conservation**,conservation,selective_required_new
140,right,consider,consider,compulsory_baseline
140,right,consist**,consist,selective_required_new
140,right,consistent**,consistent,selective_required_new
140,right,constant**,constant,selective_required_new
140,right,constitution**,constitution,selective_required_new
140,right,construction**,construction,selective_required_new
140,right,consultant**,consultant,selective_required_new
140,right,consultation**,consultation,selective_required_new
140,right,consume**,consume,selective_required_new
140,right,consumption**,consumption,selective_required_new
140,right,contact*,contact,required_new
140,right,contain*,contain,required_new
140,right,contemporary**,contemporary,selective_required_new
140,right,content*,content,required_new
140,right,contest**,contest,selective_required_new
140,right,context*,context,required_new
140,right,continent*,continent,required_new
140,right,continue,continue,compulsory_baseline
140,right,contract**,contract,selective_required_new
141,left,contradictory**,contradictory,selective_required_new
141,left,contrary**,contrary,selective_required_new
141,left,contrast**,contrast,selective_required_new
141,left,contribution*,contribution,required_new
141,left,control,control,compulsory_baseline
141,left,convenient*,convenient,required_new
141,left,conventional**,conventional,selective_required_new
141,left,conversation,conversation,compulsory_baseline
141,left,convince**,convince,selective_required_new
141,left,cook,cook,compulsory_baseline
141,left,cookie,cookie,compulsory_baseline
141,left,cool,cool,compulsory_baseline
141,left,cooperate**,cooperate,selective_required_new
141,left,copy,copy,compulsory_baseline
141,left,core**,core,selective_required_new
141,left,corn,corn,compulsory_baseline
141,left,corner,corner,compulsory_baseline
141,left,corporate**,corporate,selective_required_new
141,left,correct,correct,compulsory_baseline
141,left,correspond**,correspond,selective_required_new
141,left,cost,cost,compulsory_baseline
141,left,costume**,costume,selective_required_new
141,left,cottage**,cottage,selective_required_new
141,left,cotton**,cotton,selective_required_new
141,left,cough,cough,compulsory_baseline
141,left,could,could,compulsory_baseline
141,left,council**,council,selective_required_new
141,left,count,count,compulsory_baseline
141,right,country,country,compulsory_baseline
141,right,countryside,countryside,compulsory_baseline
141,right,county*,county,required_new
141,right,couple,couple,compulsory_baseline
141,right,courage,courage,compulsory_baseline
141,right,course,course,compulsory_baseline
141,right,court*,court,required_new
141,right,cousin,cousin,compulsory_baseline
141,right,cover,cover,compulsory_baseline
141,right,coverage**,coverage,selective_required_new
141,right,cow,cow,compulsory_baseline
141,right,crash*,crash,required_new
141,right,crayon,crayon,compulsory_baseline
141,right,crazy,crazy,compulsory_baseline
141,right,cream**,cream,selective_required_new
141,right,create,create,compulsory_baseline
