pdf_page,cet_level,raw_family
40,CET-4,chair
40,CET-4,chairman/chairperson
40,CET-4,chalk
40,CET-4,challenge challenging
40,CET-6,chamber
40,CET-4,champagne
40,CET-4,champion championship
40,CET-4,chance
40,CET-6,chancellor
40,CET-4,change
40,CET-4,channel
40,CET-6,chant
40,CET-4,chaos chaotic
40,CET-6,chapel
40,CET-4,chapter
40,CET-4,character characteristic characterize/Ｇise
40,CET-4,charge
40,CET-4,charity charitable
40,CET-4,charm charming
40,CET-4,chart
40,CET-4,charter
40,CET-4,chase
40,CET-4,chat
40,CET-4,cheap
40,CET-4,cheat
40,CET-4,check１
41,CET-4,check２/cheque
41,CET-4,cheek
41,CET-4,cheer cheerful
41,CET-4,cheese
41,CET-4,chef
41,CET-4,chemistry chemical chemist
41,CET-4,cherish
41,CET-4,chess
41,CET-4,chest
41,CET-4,chew
41,CET-4,chicken
41,CET-4,chief
41,CET-4,child childish
41,CET-4,chill chilly
41,CET-4,chimney
41,CET-4,chin
41,CET-4,china
41,CET-4,chip
41,CET-4,chocolate
41,CET-4,choice
41,CET-6,choir
41,CET-4,choke
41,CET-4,cholesterol
41,CET-4,choose choosy
41,CET-4,chop
41,CET-4,chopstick
41,CET-6,chord
41,CET-4,chore
41,CET-4,chorus
41,CET-4,Christ Christmas Christian Christianity
41,CET-6,chronic chronically
41,CET-6,chronicle
41,CET-6,chunk
41,CET-4,church
41,CET-4,cigar
41,CET-4,cigaret(te)
41,CET-4,cinema
41,CET-4,circle circular
41,CET-4,circuit
41,CET-4,circulate circulation
41,CET-4,circumstance
41,CET-4,circus
42,CET-4,cite citation
42,CET-4,citizen citizenship
42,CET-4,city
42,CET-6,civic
42,CET-4,civil civilize/Ｇise civilization/Ｇsation
42,CET-4,civilian
42,CET-4,claim
42,CET-6,clamp
42,CET-6,clan
42,CET-4,clap
42,CET-4,clarity clarify clarification
42,CET-4,clash
42,CET-6,clasp
42,CET-4,class
42,CET-4,classic classical
42,CET-4,classify classification classified
42,CET-4,classmate
42,CET-4,classroom
42,CET-4,clause
42,CET-4,claw
42,CET-4,clay
42,CET-4,clean
42,CET-6,cleanse
42,CET-4,clear clearly
42,CET-6,clearance
42,CET-4,clearＧcut
42,CET-6,clearing
42,CET-6,clench
42,CET-6,clergy
42,CET-4,clerk clerical
42,CET-4,clever
42,CET-6,cliché
42,CET-4,click
42,CET-4,client
42,CET-4,cliff
42,CET-4,climate climatic
42,CET-4,climax
42,CET-4,climb
42,CET-4,cling
42,CET-4,clinic clinical
42,CET-4,clip
42,CET-6,cloak
43,CET-4,clock
43,CET-4,clockwise
43,CET-6,clog
43,CET-4,clone
43,CET-4,close
43,CET-6,closet
43,CET-4,cloth
43,CET-4,clothe clothing
43,CET-4,clothes
43,CET-4,cloud cloudy
43,CET-4,clown
43,CET-4,club
43,CET-4,clue
43,CET-4,clumsy
43,CET-6,cluster
43,CET-6,clutch
43,CET-4,coach
43,CET-4,coal
43,CET-6,coalition
43,CET-4,coarse
43,CET-4,coast coastal
43,CET-4,coat
43,CET-6,cocaine
43,CET-4,cock
43,CET-6,cockpit
43,CET-6,cocktail
43,CET-6,coconut
43,CET-4,code
43,CET-6,coexist coexistence
43,CET-4,coffee
43,CET-6,cognitive cognition
